#OTU ID	BRK01	BRK02	BRK05	BRK06	BRK09	BRK10	BRK13	BRK14	BRK17	BRK18	BRK21	BRK22	BRK25
OTU_1	18	43	2	1	0	0	0	0	1	0	0	0	0
OTU_2	899	1023	874	832	820	800	316	539	1087	647	920	287	0
OTU_3	3208	2917	3682	3842	3679	3316	1443	3401	3946	3533	1882	1531	0
OTU_4	36	96	7	6	1	3	1	0	1	0	0	0	0
OTU_5	6399	5753	7676	7621	7622	6503	3343	7787	6950	7235	3404	4036	0
OTU_6	1344	1080	1405	1510	1037	1249	537	1083	986	1345	817	673	0
OTU_7	145	164	140	139	108	117	60	119	88	117	69	48	0
OTU_8	160	158	169	106	178	50	57	93	105	142	31	21	0
OTU_9	3423	2824	4095	4051	4085	3734	2105	4208	3655	3559	1765	2071	1
OTU_10	1648	1719	1575	1783	1567	1890	737	1660	1362	2061	578	601	0
OTU_11	115	270	9	22	3	15	1	4	1	4	2	2	0
OTU_12	399	517	320	321	365	312	145	319	291	334	147	143	0
OTU_13	239	428	23	35	7	15	6	17	6	8	1	4	0
OTU_14	28	65	0	9	1	4	0	2	0	1	3	1	0
OTU_15	754	757	759	840	751	745	314	769	697	692	344	390	0
OTU_16	163	252	8	26	6	10	2	6	5	4	1	1	0
OTU_17	99	242	12	34	7	14	8	11	5	3	3	1	0
OTU_18	170	287	11	32	6	21	5	13	4	2	6	5	1
OTU_19	236	472	24	49	8	29	7	12	6	5	4	1	0
OTU_20	15	7	0	27	7	37	0	0	0	0	42	0	0
OTU_21	119	270	9	22	2	9	2	10	2	3	3	1	0
OTU_22	23	83	2	4	0	3	1	2	0	2	1	0	0
OTU_23	306	452	21	45	5	20	11	18	6	4	3	3	0
OTU_24	311	297	185	226	243	301	107	134	204	177	240	45	0
OTU_25	477	532	396	439	361	463	160	390	328	525	130	122	0
OTU_26	216	430	15	34	5	12	7	9	6	5	4	2	0
OTU_27	4201	3959	4042	4102	3935	4599	1924	3751	3454	5017	1451	1291	0
OTU_28	40	68	5	8	1	4	0	3	1	0	0	1	0
OTU_29	7	22	4	2	0	1	0	3	1	3	0	0	0
OTU_30	2820	2092	3933	3023	3639	3251	1752	3205	3650	3116	1373	2024	1
OTU_31	215	385	18	32	6	17	2	8	3	6	3	4	0
OTU_32	67	180	6	12	5	13	0	5	0	3	0	0	0
OTU_33	188	315	15	34	17	13	5	12	9	11	3	4	0
OTU_34	888	882	884	1079	922	1026	358	925	958	1210	558	442	0
OTU_35	221	464	17	32	5	15	6	12	9	5	2	3	0
OTU_36	8	20	0	1	0	0	0	0	0	0	0	0	0
OTU_37	44	94	4	9	0	4	2	6	0	0	0	1	0
OTU_38	9	26	1	2	2	0	0	1	0	2	0	1	0
OTU_39	25	72	6	7	2	3	1	2	2	4	1	0	0
OTU_40	43	112	1	5	0	1	1	4	0	0	0	0	0
OTU_41	5534	4555	7590	6327	7160	6817	3400	6160	6951	6003	2590	4214	1
OTU_42	132	238	11	18	4	14	1	11	3	2	3	2	0
OTU_43	3996	3054	5126	4683	5481	4798	2401	4981	4494	4723	2139	2185	1
OTU_44	15	47	0	6	1	1	0	1	1	1	0	0	0
OTU_45	431	549	302	395	315	353	136	331	334	373	203	129	0
OTU_46	376	328	384	446	278	386	155	315	283	383	249	166	0
OTU_47	238	467	18	46	6	18	4	8	9	10	4	7	0
OTU_48	16	41	3	9	2	5	1	2	1	4	1	1	0
OTU_49	78	246	9	26	1	7	1	7	0	4	1	0	0
OTU_50	9	22	1	1	0	0	0	0	0	0	0	1	0
OTU_51	4379	4039	4488	4435	4222	4965	2050	4140	4291	4192	1695	2276	0
OTU_52	1455	1183	1738	1699	1787	1500	795	1702	1556	1724	881	896	0
OTU_53	326	631	30	56	19	26	8	19	3	4	7	3	0
OTU_54	77	86	65	56	63	54	17	52	66	54	33	30	0
OTU_55	65	174	5	16	5	7	0	3	2	2	1	0	0
OTU_56	38	101	1	2	0	6	2	3	0	1	2	2	0
OTU_57	79	154	3	9	5	11	2	3	3	0	1	0	0
OTU_58	558	649	624	537	532	455	240	459	535	448	225	338	0
OTU_59	1	1	0	0	0	0	0	0	0	0	0	59	0
OTU_60	3358	2553	3966	3581	4326	3253	1815	3671	4219	3132	2453	2150	1
OTU_61	165	390	13	34	4	11	8	9	1	9	1	3	0
OTU_62	692	834	620	651	649	536	245	599	680	563	310	293	0
OTU_63	3042	2898	3063	3662	2983	3517	1274	3054	3193	3696	1840	1360	0
OTU_64	72	110	44	50	65	87	15	31	38	29	53	3	0
